frame,timestamp,x,y,z,qw,qx,qy,qz,v_x (m/s),v_y (m/s),v_z (m/s),w_x (rad/s),w_y (rad/s),w_z (rad/s),acc x (m/s^2),acc y (m/s^2),acc z (m/s^2)
403,15953425573,0.0,-0.0925783157581,-3.5527136788e-15,1.0,0.0,0.0,0.0,0.0,-0.293999999762,-5.55111512313e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
404,15963425573,-7.1054273576e-15,-0.0886583343381,-1.06581410364e-14,1.0,0.0,0.0,0.0,0.0,-0.391999989748,-8.32667268469e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
405,15973425573,0.0,-0.0837583109969,0.0,1.0,0.0,0.0,0.0,0.0,-0.489999979734,-8.32667268469e-17,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
406,15983425573,0.0,-0.0778783053393,-7.1054273576e-15,1.0,0.0,0.0,0.0,0.0,-0.587999999523,-1.11022302463e-16,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
407,15993425573,0.0,-0.0713791266317,-3.5527136788e-15,1.0,0.0,0.0,0.0,0.0,-0.649936378002,-1.11022302463e-16,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
408,16003425572,0.0,-0.0654613092775,3.5527136788e-15,1.0,0.0,0.0,0.0,-2.22807352657e-06,-0.591778039932,-1.05905471171e-07,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
409,16013425572,0.0,-0.0600309349829,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.68716132976e-06,-0.543038070202,-8.15803887777e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
410,16023425572,-7.1054273576e-15,-0.0550482176477,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.22830897453e-06,-0.498272538185,-8.26778503993e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
411,16033425572,0.0,-0.0504766084487,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.34130516471e-06,-0.45716163516,-5.60660923243e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
412,16043425571,7.1054273576e-15,-0.046282501542,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.03812817542e-06,-0.419409096241,-7.19993097087e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
413,16053425571,0.0,-0.0424350328976,-3.5527136788e-15,1.0,0.0,0.0,0.0,-7.89871251072e-07,-0.38474470377,-3.92898230062e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
414,16063425571,7.1054273576e-15,-0.0389058307046,0.0,1.0,0.0,0.0,0.0,-1.01942532638e-06,-0.352919489145,-1.39219010209e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
415,16073425571,0.0,-0.0356687918538,-1.06581410364e-14,1.0,0.0,0.0,0.0,-5.93047616348e-07,-0.323702394962,-2.74244272291e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
416,16083425570,-7.1054273576e-15,-0.032699966454,-7.1054273576e-15,1.0,0.0,0.0,0.0,-6.03267949373e-07,-0.296881467104,-2.66317866093e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
417,16093425570,7.1054273576e-15,-0.0299773417646,-7.1054273576e-15,1.0,0.0,0.0,0.0,-2.37548093196e-07,-0.27226421237,-7.80831843628e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
418,16103425570,0.0,-0.0274806205416,3.5527136788e-15,1.0,0.0,0.0,0.0,-3.93771131257e-07,-0.249670818448,-2.56884363087e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
419,16113425570,0.0,-0.0251912676031,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.49749155298e-07,-0.228935420513,8.17592479829e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
420,16123425570,0.0,-0.0230921931798,3.5527136788e-15,1.0,0.0,0.0,0.0,-1.26095457631e-07,-0.209907144308,7.04830767362e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
421,16133425569,0.0,-0.0211677156622,-7.1054273576e-15,1.0,0.0,0.0,0.0,-2.21830632086e-07,-0.192448347807,-2.41515288046e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
422,16143425569,0.0,-0.0194034181768,-7.1054273576e-15,1.0,0.0,0.0,0.0,-1.63079061366e-08,-0.17642852664,-4.35148053701e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
423,16153425569,0.0,-0.0177861020202,-3.5527136788e-15,1.0,0.0,0.0,0.0,-3.46235751181e-08,-0.161732330918,-1.9918319466e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
424,16163425569,0.0,-0.0163035966689,-1.06581410364e-14,1.0,0.0,0.0,0.0,7.22510478113e-08,-0.148250326514,-2.06967801231e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
425,16173425568,-7.1054273576e-15,-0.0149447635049,-3.5527136788e-15,1.0,0.0,0.0,0.0,-2.14481303829e-07,-0.135881945491,-5.22384360768e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
426,16183425568,1.42108547152e-14,-0.013699378469,-3.5527136788e-15,1.0,0.0,0.0,0.0,-3.64602108505e-08,-0.124538131058,-2.80596790941e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
427,16193425568,-7.1054273576e-15,-0.0125580212334,-1.06581410364e-14,1.0,0.0,0.0,0.0,-8.61013802478e-08,-0.114134289324,2.81136678174e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
428,16203425568,-7.1054273576e-15,-0.0115121077979,-7.1054273576e-15,1.0,0.0,0.0,0.0,-4.72937555784e-09,-0.104591935873,-1.76226144996e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
429,16213425568,-7.1054273576e-15,-0.0105536651099,-3.5527136788e-15,1.0,0.0,0.0,0.0,-6.01920788768e-08,-0.095842666924,3.49843952419e-10,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
430,16223425567,7.1054273576e-15,-0.0096754838014,0.0,1.0,0.0,0.0,0.0,8.48869206038e-08,-0.0878185257316,-1.32906610231e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
431,16233425567,1.42108547152e-14,-0.00887084903661,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.95524094693e-07,-0.0804626196623,3.08936804888e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
432,16243425567,0.0,-0.00813365879003,-3.5527136788e-15,1.0,0.0,0.0,0.0,8.46480219252e-09,-0.0737174898386,4.11273473611e-10,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
433,16253425567,-7.1054273576e-15,-0.00745830556844,0.0,1.0,0.0,0.0,0.0,4.26538875331e-08,-0.0675338357687,-1.27596919836e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
434,16263425566,-7.1054273576e-15,-0.00683963729535,-3.5527136788e-15,1.0,0.0,0.0,0.0,-8.04190278814e-08,-0.0618659444153,1.73155552015e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
435,16273425566,7.1054273576e-15,-0.00627296476159,3.5527136788e-15,1.0,0.0,0.0,0.0,1.02463886265e-07,-0.0566691942513,-1.21369154865e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
436,16283425566,0.0,-0.00575389864389,-1.06581410364e-14,1.0,0.0,0.0,0.0,-5.24995407147e-08,-0.0519069768488,1.9459891476e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
437,16293425566,7.1054273576e-15,-0.00527847290505,-3.5527136788e-15,1.0,0.0,0.0,0.0,-5.87963135956e-08,-0.0475427061319,2.31227547179e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
438,16303425566,-7.1054273576e-15,-0.00484306330327,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.03746359059e-07,-0.0435418821871,-1.22957768481e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
439,16313425565,0.0,-0.00444431288634,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.48240914655e-07,-0.0398756302893,1.88878566051e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
440,16323425565,1.42108547152e-14,-0.00407913199161,-3.5527136788e-15,1.0,0.0,0.0,0.0,3.10704315609e-08,-0.0365165993571,-1.14419593869e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
441,16333425565,-7.1054273576e-15,-0.00374477368315,-3.5527136788e-15,1.0,0.0,0.0,0.0,-3.08569894969e-07,-0.0334376804531,2.52559061859e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
442,16343425565,0.0,-0.00343860604334,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.18386054737e-07,-0.0306163597852,3.55019635391e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
443,16353425564,-7.1054273576e-15,-0.00315826397855,-1.06581410364e-14,1.0,0.0,0.0,0.0,-1.07915285597e-08,-0.0280323699117,-1.05064401658e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
444,16363425564,0.0,-0.00290161103476,-1.06581410364e-14,1.0,0.0,0.0,0.0,-1.2731365473e-07,-0.0256661698222,4.47251169086e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
445,16373425564,0.0,-0.00266662577633,0.0,1.0,0.0,0.0,0.0,-9.37494988307e-08,-0.0234976485372,-1.13682947535e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
446,16383425564,-7.1054273576e-15,-0.00245151494165,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.29504400093e-07,-0.0215108152479,-1.06184092664e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
447,16393425564,0.0,-0.00225460052025,-3.5527136788e-15,1.0,0.0,0.0,0.0,-4.04784429975e-07,-0.0196911860257,2.31075425114e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
448,16403425563,7.1054273576e-15,-0.00207435607445,-3.5527136788e-15,1.0,0.0,0.0,0.0,-1.25035384713e-07,-0.0180238336325,1.96779286164e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
449,16413425563,7.1054273576e-15,-0.00190937041771,-3.5527136788e-15,1.0,0.0,0.0,0.0,-6.48402433967e-08,-0.0164974685758,-1.09051958609e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
450,16423425563,0.0,-0.00175838463474,3.5527136788e-15,1.0,0.0,0.0,0.0,1.37810033607e-07,-0.015099982731,-6.71008937303e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
451,16433425563,0.0,-0.00162017822732,-7.1054273576e-15,1.0,0.0,0.0,0.0,1.7123733187e-07,-0.0138196274638,-6.17467943616e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
452,16443425562,0.0,-0.00149372091983,-3.5527136788e-15,1.0,0.0,0.0,0.0,9.36388602213e-08,-0.0126472944394,-7.13643544432e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
453,16453425562,0.0,-0.00137798313517,-3.5527136788e-15,1.0,0.0,0.0,0.0,-8.51600816532e-08,-0.0115738008171,2.203764282e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
454,16463425562,0.0,-0.00127208710183,-3.5527136788e-15,1.0,0.0,0.0,0.0,6.57383694147e-08,-0.0105905057862,6.81941614115e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
455,16473425562,0.0,-0.00117515551392,-1.06581410364e-14,1.0,0.0,0.0,0.0,1.34553786779e-07,-0.009691352956,-6.37583586101e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
456,16483425562,0.0,-0.00108646380249,-3.5527136788e-15,1.0,0.0,0.0,0.0,1.07410137673e-07,-0.0088676167652,9.8389403274e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
457,16493425561,0.0,-0.00100532534998,3.5527136788e-15,1.0,0.0,0.0,0.0,-2.44308235864e-08,-0.00811326038092,-7.15229475819e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
